intervals,step_cost
1,872.9078529431318
2,873.9597511611958
3,851.6919943395053
4,865.1103371687467
5,844.0588586170509
6,847.2165073914088
7,913.7580349095368
8,895.6883649178627
9,873.0391434894299
10,879.1066920165424
11,870.3698679284081
12,882.3689877586114
13,890.4463456450533
14,872.5392301896453
15,838.8370261097579
16,872.6463868977684
17,871.083494920506
18,883.631597207672
19,887.6243552239221
20,906.4887912010398
21,912.8059945165204
22,911.5669403443471
23,937.9528310087044
24,979.4894396149617
25,983.8033432650503
26,1008.0494517302291
27,1013.5036547108186
28,1043.3673680130441
29,1058.51918184669
30,1083.1363199553068
31,1099.2536232685657
32,1099.4054815431798
33,1092.9645264222956
34,1118.2247793972876
35,1116.7412834560203
36,1124.312528942292
37,1157.587264195392
38,1164.755689751189
39,1186.4536039543987
40,1182.3645000277634
41,1244.747895017936
42,1249.9479225295634
43,1254.7621634312397
44,1220.6864223788252
45,1233.6677645096854
46,1300.7878281901365
47,1463.4536844198892
48,1529.3581966890904
49,1527.1444404406157
50,1512.8742264657105
51,1521.1260938871233
52,1351.28813183274
53,1347.251954172113
54,1191.2003257044103
55,1190.5198299457254
56,1183.3445131499268
57,1168.2215422985744
58,1181.6020518437567
59,1164.1682448255278
60,1171.9870403616812
61,1180.2455495139347
62,1165.1197919933468
63,1146.8025995082148
64,1154.6908160852108
65,1195.1984682350592
66,1227.7269196198647
67,1213.5345087188707
68,1217.1049999988206
69,1300.3445539090908
70,1319.1453969558863
71,1332.4847353338776
72,1393.1724613358638
73,1459.1685717834357
74,1386.814584397489
75,1470.694487742922
76,1430.777468770194
77,1399.5217288313188
78,1365.924625111953
79,1351.4967415914552
80,1345.6536724877928
81,1302.856558526136
82,1654.2303233519249
83,1643.563842520244
84,1701.923787247382
85,1474.6657197317209
86,1464.7122001677633
87,1226.5549047386203
88,1178.2797041563651
89,1164.0886804985018
90,1162.4578810136438
91,1092.7993944791588
92,1042.4111271453667
93,3833.013373478217
